Image     Accelerator      Sampler      Configuration     Time        OS      Lot     Machine
teapot-metal-bvh-halton.pbrt  bvh  halton bvh-halton  316.405405596  WSL  3  MaquinaChen
bidir-bvh-halton.pbrt  bvh  halton bvh-halton  747.608569311  WSL  3  MaquinaChen
spotfog-bvh-halton.pbrt  bvh  halton bvh-halton  192.560787040  WSL  3  MaquinaChen
spotfog-kdtree-halton.pbrt  kdtree  halton kdtree-halton  257.573087260  WSL  3  MaquinaChen
buddha-fractal-bvh-halton.pbrt  bvh  halton bvh-halton  137.689972822  WSL  3  MaquinaChen
teapot-metal-kdtree-sobol.pbrt  kdtree  sobol kdtree-sobol  283.386204840  WSL  3  MaquinaChen
bidir-bvh-sobol.pbrt  bvh  sobol bvh-sobol  737.590186745  WSL  3  MaquinaChen
bidir-kdtree-sobol.pbrt  kdtree  sobol kdtree-sobol  1002.619923600  WSL  3  MaquinaChen
bidir-kdtree-halton.pbrt  kdtree  halton kdtree-halton  1032.629700294  WSL  3  MaquinaChen
buddha-fractal-kdtree-sobol.pbrt  kdtree  sobol kdtree-sobol  182.837303287  WSL  3  MaquinaChen
bidir-bvh-sobol.pbrt bvh sobol bvh-sobol 1018.6818425 Windows 3 MaquinaChen
teapot-metal-kdtree-halton.pbrt kdtree halton kdtree-halton 476.152857 Windows 3 MaquinaChen
spotfog-kdtree-halton.pbrt kdtree halton kdtree-halton 398.1822519 Windows 3 MaquinaChen
spotfog-kdtree-sobol.pbrt kdtree sobol kdtree-sobol 402.8139087 Windows 3 MaquinaChen
spotfog-bvh-sobol.pbrt bvh sobol bvh-sobol 291.1506217 Windows 3 MaquinaChen
bidir-kdtree-sobol.pbrt kdtree sobol kdtree-sobol 1514.3001027 Windows 3 MaquinaChen
buddha-fractal-bvh-halton.pbrt bvh halton bvh-halton 182.7023849 Windows 3 MaquinaChen
teapot-metal-kdtree-sobol.pbrt kdtree sobol kdtree-sobol 403.8858782 Windows 3 MaquinaChen
spotfog-bvh-halton.pbrt bvh halton bvh-halton 300.3022812 Windows 3 MaquinaChen
teapot-metal-bvh-halton.pbrt bvh halton bvh-halton 467.8989658 Windows 3 MaquinaChen
teapot-metal-bvh-sobol.pbrt bvh sobol bvh-sobol 401.92871 Windows 3 MaquinaChen
